assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,date,defensive_rebounds,game_score,location,made_field_goals,made_free_throws,made_three_point_field_goals,offensive_rebounds,opponent,outcome,personal_fouls,plus_minus,points_scored,seconds_played,steals,team,turnovers
4,16,2,5,0,2018-10-17,6,0.8,Location.AWAY,5,0,0,2,Team.PHOENIX_SUNS,Outcome.LOSS,3,-18,10,1907,0,Team.DALLAS_MAVERICKS,4
3,16,9,9,1,2018-10-20,5,16.6,Location.HOME,8,6,4,1,Team.MINNESOTA_TIMBERWOLVES,Outcome.WIN,3,6,26,2174,2,Team.DALLAS_MAVERICKS,6
6,14,2,8,0,2018-10-22,3,13.9,Location.HOME,7,2,3,0,Team.CHICAGO_BULLS,Outcome.WIN,3,5,19,2148,1,Team.DALLAS_MAVERICKS,3
2,18,8,9,1,2018-10-24,9,12.0,Location.AWAY,7,5,2,0,Team.ATLANTA_HAWKS,Outcome.LOSS,2,-12,21,2051,1,Team.DALLAS_MAVERICKS,3
4,14,4,6,0,2018-10-26,4,16.3,Location.AWAY,7,4,4,1,Team.TORONTO_RAPTORS,Outcome.LOSS,1,0,22,2109,0,Team.DALLAS_MAVERICKS,3
5,13,2,6,0,2018-10-28,5,8.2,Location.HOME,5,2,2,1,Team.UTAH_JAZZ,Outcome.LOSS,1,4,14,2213,1,Team.DALLAS_MAVERICKS,5
4,18,6,6,1,2018-10-29,6,24.1,Location.AWAY,11,5,4,2,Team.SAN_ANTONIO_SPURS,Outcome.LOSS,0,5,31,2395,1,Team.DALLAS_MAVERICKS,6
7,11,2,6,0,2018-10-31,4,12.9,Location.AWAY,5,1,3,1,Team.LOS_ANGELES_LAKERS,Outcome.LOSS,2,-13,14,1688,1,Team.DALLAS_MAVERICKS,2
6,15,1,6,0,2018-11-02,7,13.8,Location.HOME,8,0,2,2,Team.NEW_YORK_KNICKS,Outcome.LOSS,3,-10,18,2098,1,Team.DALLAS_MAVERICKS,4
3,16,3,7,0,2018-11-06,6,15.2,Location.HOME,9,3,2,1,Team.WASHINGTON_WIZARDS,Outcome.WIN,2,11,23,1996,1,Team.DALLAS_MAVERICKS,5
2,14,7,4,0,2018-11-07,5,14.4,Location.AWAY,7,7,3,1,Team.UTAH_JAZZ,Outcome.LOSS,3,-15,24,2112,0,Team.DALLAS_MAVERICKS,5
8,15,4,4,0,2018-11-10,6,17.5,Location.HOME,9,3,1,0,Team.OKLAHOMA_CITY_THUNDER,Outcome.WIN,4,16,22,1882,1,Team.DALLAS_MAVERICKS,4
3,12,4,7,0,2018-11-12,4,5.7,Location.AWAY,3,3,2,2,Team.CHICAGO_BULLS,Outcome.WIN,1,-13,11,1907,1,Team.DALLAS_MAVERICKS,3
2,13,2,4,1,2018-11-14,5,8.4,Location.HOME,5,1,2,1,Team.UTAH_JAZZ,Outcome.WIN,1,17,13,1509,2,Team.DALLAS_MAVERICKS,3
4,20,4,8,0,2018-11-17,8,15.3,Location.HOME,9,4,2,1,Team.GOLDEN_STATE_WARRIORS,Outcome.WIN,3,18,24,2147,0,Team.DALLAS_MAVERICKS,3
3,20,0,9,1,2018-11-19,9,5.8,Location.AWAY,6,0,3,1,Team.MEMPHIS_GRIZZLIES,Outcome.LOSS,2,3,15,2192,0,Team.DALLAS_MAVERICKS,3
4,11,11,3,0,2018-11-21,7,18.2,Location.HOME,5,9,2,2,Team.BROOKLYN_NETS,Outcome.WIN,4,1,21,2032,2,Team.DALLAS_MAVERICKS,3
8,11,2,4,1,2018-11-24,0,15.6,Location.HOME,5,2,3,0,Team.BOSTON_CELTICS,Outcome.WIN,0,8,15,1852,3,Team.DALLAS_MAVERICKS,3
2,11,5,7,0,2018-11-28,4,14.9,Location.AWAY,6,5,3,2,Team.HOUSTON_ROCKETS,Outcome.WIN,2,-6,20,1457,1,Team.DALLAS_MAVERICKS,4
5,13,3,5,2,2018-11-30,6,2.8,Location.AWAY,2,2,0,0,Team.LOS_ANGELES_LAKERS,Outcome.LOSS,3,-8,6,1903,3,Team.DALLAS_MAVERICKS,3
3,14,9,4,0,2018-12-04,7,15.2,Location.HOME,6,7,2,2,Team.PORTLAND_TRAIL_BLAZERS,Outcome.WIN,3,4,21,1903,0,Team.DALLAS_MAVERICKS,2
6,8,4,4,0,2018-12-05,4,5.8,Location.AWAY,2,3,1,0,Team.NEW_ORLEANS_PELICANS,Outcome.LOSS,1,-8,8,1320,0,Team.DALLAS_MAVERICKS,2
1,17,5,7,0,2018-12-08,4,14.3,Location.HOME,7,4,3,3,Team.HOUSTON_ROCKETS,Outcome.WIN,3,8,21,1920,3,Team.DALLAS_MAVERICKS,3
9,11,3,5,0,2018-12-10,10,8.7,Location.HOME,2,3,0,1,Team.ORLANDO_MAGIC,Outcome.WIN,1,16,7,1536,1,Team.DALLAS_MAVERICKS,2
6,14,15,6,1,2018-12-12,9,19.5,Location.HOME,5,12,2,1,Team.ATLANTA_HAWKS,Outcome.WIN,2,4,24,2086,1,Team.DALLAS_MAVERICKS,4
6,12,2,5,0,2018-12-13,5,8.9,Location.AWAY,6,0,1,0,Team.PHOENIX_SUNS,Outcome.LOSS,0,-8,13,1874,1,Team.DALLAS_MAVERICKS,4
9,15,14,5,0,2018-12-16,6,22.0,Location.HOME,9,9,1,0,Team.SACRAMENTO_KINGS,Outcome.LOSS,3,-3,28,2102,1,Team.DALLAS_MAVERICKS,5
12,15,12,9,0,2018-12-18,6,23.5,Location.AWAY,5,10,3,0,Team.DENVER_NUGGETS,Outcome.LOSS,1,7,23,2070,1,Team.DALLAS_MAVERICKS,1
5,20,13,6,0,2018-12-20,0,25.5,Location.AWAY,10,9,3,4,Team.LOS_ANGELES_CLIPPERS,Outcome.LOSS,3,-1,32,1860,4,Team.DALLAS_MAVERICKS,4
5,15,4,6,1,2018-12-22,2,14.2,Location.AWAY,7,2,3,1,Team.GOLDEN_STATE_WARRIORS,Outcome.LOSS,2,-2,19,1780,1,Team.DALLAS_MAVERICKS,2
6,21,9,7,0,2018-12-23,9,17.6,Location.AWAY,7,7,2,2,Team.PORTLAND_TRAIL_BLAZERS,Outcome.LOSS,0,-3,23,2126,0,Team.DALLAS_MAVERICKS,1
10,13,12,5,0,2018-12-26,8,22.8,Location.HOME,5,11,0,1,Team.NEW_ORLEANS_PELICANS,Outcome.WIN,2,3,21,1881,1,Team.DALLAS_MAVERICKS,1
3,16,13,10,0,2018-12-28,1,23.5,Location.AWAY,10,7,7,1,Team.NEW_ORLEANS_PELICANS,Outcome.LOSS,0,5,34,2013,0,Team.DALLAS_MAVERICKS,4
