age,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,games_played,games_started,made_field_goals,made_free_throws,made_three_point_field_goals,minutes_played,name,offensive_rebounds,personal_fouls,points,positions,slug,steals,team,turnovers
25,20,157,13,127,6,43,31,2,56,12,41,588,Álex Abrines,5,53,165,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],abrinal01,17,Team.OKLAHOMA_CITY_THUNDER,14
28,8,18,10,15,4,22,10,0,4,7,2,123,Quincy Acy,3,24,17,[<Position.POWER_FORWARD: 'POWER FORWARD'>],acyqu01,1,Team.PHOENIX_SUNS,4
22,65,110,9,74,5,49,34,1,38,7,25,428,Jaylen Adams,11,45,108,[<Position.POINT_GUARD: 'POINT GUARD'>],adamsja01,14,Team.ATLANTA_HAWKS,28
25,124,809,292,2,76,369,80,80,481,146,0,2669,Steven Adams,391,204,1108,[<Position.CENTER: 'CENTER'>],adamsst01,117,Team.OKLAHOMA_CITY_THUNDER,135
21,184,486,226,15,65,432,82,28,280,166,3,1913,Bam Adebayo,165,203,729,[<Position.CENTER: 'CENTER'>],adebaba01,71,Team.MIAMI_HEAT,121
21,5,36,4,23,4,16,19,3,11,4,6,194,Deng Adel,3,13,32,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],adelde01,1,Team.CLEVELAND_CAVALIERS,6
25,6,10,2,4,0,3,7,0,3,1,0,22,DeVaughn Akoon-Purcell,1,4,7,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],akoonde01,2,Team.DENVER_NUGGETS,2
33,194,1319,412,42,107,493,81,81,684,349,10,2687,LaMarcus Aldridge,251,179,1727,[<Position.CENTER: 'CENTER'>],aldrila01,43,Team.SAN_ANTONIO_SPURS,144
21,13,39,12,12,0,15,10,1,13,8,3,120,Rawle Alkins,11,7,37,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],alkinra01,1,Team.CHICAGO_BULLS,8
23,25,178,60,99,6,20,38,2,67,45,32,416,Grayson Allen,3,47,211,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],allengr01,6,Team.UTAH_JAZZ,33
20,110,568,278,45,120,481,80,80,335,197,6,2096,Jarrett Allen,191,184,873,[<Position.CENTER: 'CENTER'>],allenja01,43,Team.BROOKLYN_NETS,103
26,76,141,54,36,4,43,19,1,65,42,17,416,Kadeem Allen,8,46,189,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],allenka01,16,Team.NEW_YORK_KNICKS,26
28,104,593,173,280,33,498,81,81,257,150,96,2292,Al-Farouq Aminu,112,143,760,[<Position.POWER_FORWARD: 'POWER FORWARD'>],aminual01,68,Team.PORTLAND_TRAIL_BLAZERS,72
25,23,157,35,77,13,60,48,4,64,26,24,463,Justin Anderson,24,48,178,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],anderju01,22,Team.ATLANTA_HAWKS,23
25,128,276,64,34,37,203,43,40,150,37,9,1281,Kyle Anderson,48,112,346,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],anderky01,54,Team.MEMPHIS_GRIZZLIES,58
30,17,60,14,34,1,31,15,8,19,11,7,278,Ryan Anderson,14,23,56,[<Position.POWER_FORWARD: 'POWER FORWARD'>],anderry01,3,Team.PHOENIX_SUNS,12
30,2,9,2,6,0,5,10,0,2,1,2,44,Ryan Anderson,4,2,7,[<Position.POWER_FORWARD: 'POWER FORWARD'>],anderry01,1,Team.MIAMI_HEAT,2
20,1,3,0,0,1,2,3,0,0,0,0,6,Ike Anigbogu,1,0,0,[<Position.CENTER: 'CENTER'>],anigbik01,0,Team.INDIANA_PACERS,1
24,424,1247,686,203,110,739,72,72,721,500,52,2358,Giannis Antetokounmpo,159,232,1994,[<Position.POWER_FORWARD: 'POWER FORWARD'>],antetgi01,92,Team.MILWAUKEE_BUCKS,268
