age,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,games_played,minutes_played,name,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,positions,slug,steal_percentage,team,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes
25,4.3,0.9,-3.3,0.4,7.8,0.6,0.083,31,588,Álex Abrines,-3.7,0.9,0.1,6.3,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],abrinal01,1.3,Team.OKLAHOMA_CITY_THUNDER,0.809,4.2,0.507,7.9,12.2,-0.2,0.6,0.053
28,8.2,2.7,-8.1,-0.5,20.1,0.0,0.556,10,123,Quincy Acy,-7.6,2.7,-0.1,2.9,[<Position.POWER_FORWARD: 'POWER FORWARD'>],acyqu01,0.4,Team.PHOENIX_SUNS,0.833,11.3,0.379,15.2,9.2,-0.2,-0.1,-0.022
22,19.8,1.0,-4.3,-0.5,12.3,0.2,0.082,34,428,Jaylen Adams,-3.8,2.6,-0.1,7.6,[<Position.POINT_GUARD: 'POINT GUARD'>],adamsja01,1.5,Team.ATLANTA_HAWKS,0.673,7.4,0.474,19.7,13.5,-0.2,0.1,0.011
25,6.6,2.4,1.1,0.4,14.8,4.0,0.361,80,2669,Steven Adams,0.7,14.7,5.1,18.5,[<Position.CENTER: 'CENTER'>],adamsst01,2.0,Team.OKLAHOMA_CITY_THUNDER,0.002,14.7,0.591,12.6,16.4,2.1,9.1,0.163
21,14.2,3.0,1.8,2.2,24.0,3.4,0.465,82,1913,Bam Adebayo,-0.4,9.2,3.4,17.9,[<Position.CENTER: 'CENTER'>],adebaba01,1.8,Team.MIAMI_HEAT,0.031,16.6,0.623,17.1,15.8,1.8,6.8,0.171
21,3.4,1.8,-7.5,-1.6,9.6,0.0,0.111,19,194,Deng Adel,-6.0,1.6,-0.2,2.7,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],adelde01,0.3,Team.CLEVELAND_CAVALIERS,0.639,5.4,0.424,13.7,9.9,-0.3,-0.2,-0.054
25,37.1,0.0,-5.8,2.1,14.8,0.0,0.2,7,22,DeVaughn Akoon-Purcell,-7.9,4.9,-0.1,8.2,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],akoonde01,4.5,Team.DENVER_NUGGETS,0.4,9.8,0.322,15.5,25.0,0.0,0.0,-0.051
33,11.6,3.4,1.8,-0.6,19.8,2.9,0.312,81,2687,LaMarcus Aldridge,2.4,10.3,6.4,22.9,[<Position.CENTER: 'CENTER'>],aldrila01,0.8,Team.SAN_ANTONIO_SPURS,0.032,15.1,0.576,8.8,26.9,2.6,9.3,0.167
21,15.2,0.0,-7.3,-3.5,13.7,0.0,0.308,10,120,Rawle Alkins,-3.8,9.9,-0.1,8.1,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],alkinra01,0.4,Team.CHICAGO_BULLS,0.308,11.8,0.418,15.3,19.0,-0.2,-0.1,-0.042
23,8.9,1.1,-6.3,-2.1,5.1,0.4,0.337,38,416,Grayson Allen,-4.2,0.8,-0.4,7.5,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],allengr01,0.7,Team.UTAH_JAZZ,0.556,3.0,0.516,13.9,24.4,-0.5,0.0,0.002
20,7.9,4.5,1.6,1.4,24.0,3.3,0.489,80,2096,Jarrett Allen,0.2,9.6,4.4,18.5,[<Position.CENTER: 'CENTER'>],allenja01,1.0,Team.BROOKLYN_NETS,0.079,16.8,0.632,13.0,15.9,1.9,7.6,0.175
26,28.7,0.8,0.6,0.3,11.1,0.2,0.383,19,416,Kadeem Allen,0.3,2.0,0.7,16.2,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],allenka01,1.9,Team.NEW_YORK_KNICKS,0.255,6.4,0.574,13.6,19.6,0.3,1.0,0.111
28,6.0,1.2,0.7,0.6,22.6,2.8,0.292,81,2292,Al-Farouq Aminu,0.1,5.3,3.0,13.2,[<Position.POWER_FORWARD: 'POWER FORWARD'>],aminual01,1.4,Team.PORTLAND_TRAIL_BLAZERS,0.472,14.2,0.568,9.7,13.7,1.5,5.8,0.121
25,6.9,2.4,-2.7,-0.3,13.9,0.4,0.223,48,463,Justin Anderson,-2.4,5.3,0.1,11.2,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],anderju01,2.2,Team.ATLANTA_HAWKS,0.49,9.5,0.516,11.8,17.2,-0.1,0.4,0.043
25,15.0,2.7,0.8,2.4,18.1,1.8,0.232,43,1281,Kyle Anderson,-1.6,4.1,0.8,12.8,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],anderky01,2.1,Team.MEMPHIS_GRIZZLIES,0.123,11.0,0.569,16.0,12.6,0.9,2.7,0.1
30,8.1,0.3,-6.3,-1.9,12.5,0.0,0.233,15,278,Ryan Anderson,-4.5,5.5,-0.2,4.6,[<Position.POWER_FORWARD: 'POWER FORWARD'>],anderry01,0.5,Team.PHOENIX_SUNS,0.567,9.0,0.423,15.4,12.1,-0.3,-0.2,-0.039
30,5.8,0.0,-6.5,-1.9,12.1,0.0,0.222,10,44,Ryan Anderson,-4.6,9.7,0.0,4.5,[<Position.POWER_FORWARD: 'POWER FORWARD'>],anderry01,1.1,Team.MIAMI_HEAT,0.667,10.9,0.354,16.8,11.6,0.0,0.0,-0.009
20,19.4,14.8,-16.2,-2.3,36.2,0.0,0.0,3,6,Ike Anigbogu,-14.0,18.9,-0.1,-6.0,[<Position.CENTER: 'CENTER'>],anigbik01,0.0,Team.INDIANA_PACERS,0.0,27.7,0.0,25.0,29.1,0.0,-0.1,-0.48
24,30.3,3.9,10.4,4.1,30.0,5.5,0.55,72,2358,Giannis Antetokounmpo,6.3,7.3,8.9,30.9,[<Position.POWER_FORWARD: 'POWER FORWARD'>],antetgi01,1.8,Team.MILWAUKEE_BUCKS,0.163,19.3,0.644,14.8,32.3,7.4,14.4,0.292
21,0.0,0.0,-12.7,-0.1,9.7,0.0,1.333,2,11,Kostas Antetokounmpo,-12.6,0.0,-0.1,-0.9,[<Position.POWER_FORWARD: 'POWER FORWARD'>],antetko01,8.8,Team.DALLAS_MAVERICKS,0.0,4.9,0.21,17.4,22.5,0.0,-0.1,-0.247
34,2.6,2.0,-2.7,-1.4,17.3,0.2,0.182,10,294,Carmelo Anthony,-1.3,3.3,0.1,10.9,[<Position.POWER_FORWARD: 'POWER FORWARD'>],anthoca01,0.7,Team.HOUSTON_ROCKETS,0.529,10.2,0.513,5.8,20.5,-0.1,0.3,0.048
21,4.7,1.3,-2.4,0.1,10.8,1.7,0.153,67,1352,OG Anunoby,-2.4,4.8,0.3,9.8,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],anunoog01,1.6,Team.TORONTO_RAPTORS,0.5,7.9,0.544,11.3,15.5,-0.1,2.0,0.07
24,18.9,0.2,-1.9,0.1,10.8,0.9,0.244,81,1961,Ryan Arcidiacono,-2.0,1.5,2.8,11.6,[<Position.POINT_GUARD: 'POINT GUARD'>],arcidry01,1.6,Team.CHICAGO_BULLS,0.519,6.1,0.588,12.0,11.7,0.1,3.7,0.09
33,13.5,0.8,-1.1,0.0,16.4,0.5,0.189,26,884,Trevor Ariza,-1.1,2.0,0.2,10.5,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],arizatr01,2.1,Team.PHOENIX_SUNS,0.612,9.1,0.525,13.7,13.8,0.2,0.6,0.035
