Player,Team,Position,Salary,FantasyScore,C,PF,PG,SF,SG
James Harden,HOU,"PG,SG",37800000 ,15.84,0,0,1,0,1
Anthony Davis,LAL,"PF,C",27093019 ,14.52,1,1,0,0,0
Damian Lillard,POR,PG,29802321 ,11.67,0,0,1,0,0
Kawhi Leonard,LAC,"SG,SF",32742000 ,11.6,0,0,0,1,1
Karl-Anthony Towns?,MIN,C,27250000 ,11.55,1,0,0,0,0
Kyrie Irving?,BKN,"PG,SG",31742000 ,11.47,0,0,1,0,1
Trae Young,ATL,PG,6273000 ,10.06,0,0,1,0,0
Nikola Jokic,DEN,"PF,C",26573595 ,9.8,1,1,0,0,0
Hassan Whiteside,POR,C,27093018 ,9.53,1,0,0,0,0
Bradley Beal,WAS,SG,27093019 ,9.49,0,0,0,0,1
John Collins?,ATL,"PF,C",2686560 ,9.46,1,1,0,0,0
LeBron James,LAL,"PG,SF,PF",37436858 ,9.32,0,1,1,1,0
Devin Booker,PHO,"PG,SG",27250000 ,8.7,0,0,1,0,1
Luka Doncic,DAL,"PG,SG,SF",7683360 ,8.4,0,0,1,1,1
Joel Embiid?,PHI,"PF,C",27504630 ,8.33,1,1,0,0,0
Russell Westbrook,HOU,PG,38178000 ,7.99,0,0,1,0,0
Stephen Curry?,GSW,"PG,SG",40231758 ,7.83,0,0,1,0,1
Giannis Antetokounmpo?,MIL,"SF,PF",25842697 ,7.71,0,1,0,1,0
Chris Paul,OKC,PG,38506482 ,7.57,0,0,1,0,0
Brandon Ingram,NOP,"SG,SF,PF",7265485 ,7.57,0,1,0,1,1
Jimmy Butler?,MIA,"SG,SF",32742000 ,7.54,0,0,0,1,1
Jayson Tatum,BOS,"SF,PF",7830000 ,7.46,0,1,0,1,0
Kyle Lowry,TOR,PG,33296296 ,7.37,0,0,1,0,0
Deandre Ayton?,PHO,C,9562920 ,7.23,1,0,0,0,0
Zach LaVine?,CHI,"PG,SG,SF",19500000 ,6.87,0,0,1,1,1
Andre Drummond,CLE,"PF,C",27093019 ,6.72,1,1,0,0,0
Jonathan Isaac?,ORL,"SF,PF",5806440 ,6.64,0,1,0,1,0
Pascal Siakam,TOR,PF,2351839 ,6.64,0,1,0,0,0
Paul George,LAC,"SF,PF",33005556 ,6.63,0,1,0,1,0
Ben Simmons?,PHI,PG,8113930 ,6.52,0,0,1,0,0
Jrue Holiday,NOP,"PG,SG",26131111 ,6.48,0,0,1,0,1
Kristaps Porzingis,DAL,"PF,C",27285000 ,6.44,1,1,0,0,0
Nikola Vucevic,ORL,"PF,C",28000000 ,6.3,1,1,0,0,0
LaMarcus Aldridge,SAS,"PF,C",26000000 ,6.3,1,1,0,0,0
Khris Middleton,MIL,"SG,SF",30603448 ,6.22,0,0,0,1,1
Bam Adebayo,MIA,"PF,C",3454080 ,6,1,1,0,0,0
Clint Capela?,ATL,"PF,C",16456522 ,5.86,1,1,0,0,0
Fred VanVleet?,TOR,"PG,SG",9000000 ,5.81,0,0,1,0,1
Rudy Gobert,UTA,C,25008427 ,5.74,1,0,0,0,0
