age,assists,attempted_field_goals,attempted_free_throws,attempted_three_point_field_goals,blocks,defensive_rebounds,games_played,games_started,made_field_goals,made_free_throws,made_three_point_field_goals,minutes_played,name,offensive_rebounds,personal_fouls,points,positions,slug,steals,team,turnovers,assist_percentage,block_percentage,box_plus_minus,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,steal_percentage,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,value_over_replacement_player,win_shares,win_shares_per_48_minutes,year
26,141,443,183,3,65,347,58,58,262,108,1,1564,Steven Adams,196,111,633,[<Position.CENTER: 'CENTER'>],adamsst01,50,OKLAHOMA_CITY_THUNDER,86,13.5,3.5,3.2,1.1,23.8,2.5,0.413,2.1,14.4,3.7,20.8,1.6,0.007,19.3,0.605,14.1,17.2,2.0,6.2,0.19,2020
22,333,719,342,13,85,518,65,65,408,236,1,2235,Bam Adebayo,165,164,1053,[<Position.POWER_FORWARD: 'POWER FORWARD'>],adebaba01,78,MIAMI_HEAT,185,23.6,3.8,3.6,2.1,25.0,3.6,0.476,1.6,8.7,4.6,20.6,1.7,0.018,17.2,0.606,17.5,20.8,3.2,8.1,0.175,2020
34,129,793,191,157,87,289,53,53,391,158,61,1754,LaMarcus Aldridge,103,128,1001,[<Position.CENTER: 'CENTER'>],aldrila01,36,SAN_ANTONIO_SPURS,74,11.4,4.4,1.3,-0.5,17.8,1.4,0.241,1.8,6.3,3.1,19.8,1.0,0.198,12.0,0.571,7.8,23.6,1.5,4.4,0.122,2020
21,74,227,28,117,7,72,41,0,77,17,40,501,Nickeil Alexander-Walker,8,46,211,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],alexani01,11,NEW_ORLEANS_PELICANS,40,20.3,1.2,-4.9,-1.4,15.2,0.4,0.123,-3.5,1.7,-0.7,7.6,1.0,0.515,8.4,0.441,14.3,22.8,-0.4,-0.4,-0.034,2020
24,43,176,35,91,1,61,30,0,79,30,33,498,Grayson Allen,5,36,221,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],allengr01,6,MEMPHIS_GRIZZLIES,23,11.8,0.2,-2.6,-1.5,12.6,0.3,0.199,-1.0,1.1,0.5,11.4,0.6,0.517,7.0,0.577,10.7,17.9,-0.1,0.7,0.07,2020
21,85,413,237,5,85,410,64,58,267,147,0,1647,Jarrett Allen,195,144,681,[<Position.CENTER: 'CENTER'>],allenja01,37,BROOKLYN_NETS,72,7.8,4.3,2.1,1.1,25.0,2.8,0.574,1.0,12.5,4.3,20.3,1.1,0.012,18.9,0.658,12.2,15.0,1.7,7.1,0.207,2020
27,21,44,11,16,2,7,10,0,19,7,5,117,Kadeem Allen,2,7,50,[<Position.SHOOTING_GUARD: 'SHOOTING GUARD'>],allenka01,5,NEW_YORK_KNICKS,8,27.0,1.6,-0.6,-0.6,6.6,0.1,0.25,0.0,1.8,0.1,14.0,2.1,0.364,4.1,0.512,14.1,20.6,0.0,0.1,0.053,2020
29,21,86,29,36,8,63,18,2,25,19,9,380,Al-Farouq Aminu,24,27,78,[<Position.POWER_FORWARD: 'POWER FORWARD'>],aminual01,18,ORLANDO_MAGIC,17,7.4,1.9,-3.1,1.4,18.4,0.5,0.337,-4.5,6.6,-0.4,7.6,2.3,0.419,12.3,0.395,14.7,13.2,-0.1,0.1,0.016,2020
26,0,6,2,3,1,2,3,0,1,1,0,17,Justin Anderson,0,2,3,[<Position.SMALL_FORWARD: 'SMALL FORWARD'>],anderju01,0,BROOKLYN_NETS,0,0.0,4.9,-15.1,-2.3,11.8,0.0,0.333,-12.8,0.0,-0.1,-3.8,0.0,0.5,6.1,0.218,0.0,16.9,-0.1,-0.1,-0.167,2020
26,132,280,66,62,31,203,59,20,138,43,16,1140,Kyle Anderson,54,85,335,[<Position.POWER_FORWARD: 'POWER FORWARD'>],anderky01,46,MEMPHIS_GRIZZLIES,55,15.1,2.4,0.6,1.9,18.3,1.4,0.236,-1.3,5.1,0.9,13.0,1.9,0.221,11.8,0.542,15.1,13.3,0.7,2.2,0.095,2020
